City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2020-03-08,38.66,84.01,3.91,21.71,22.73,14.03,0.88,6.71,40.31,0.37,1.11,,91.0,Satisfactory
Bengaluru,2020-03-09,38.88,84.66,4.74,23.26,24.69,13.54,0.99,7.41,45.57,0.39,0.96,,99.0,Satisfactory
Bengaluru,2020-03-10,41.48,89.64,3.92,22.84,23.81,12.71,0.94,7.08,50.57,0.33,1.53,,93.0,Satisfactory
Bengaluru,2020-03-11,39.57,80.31,4.86,25.62,27.1,11.31,0.96,8.25,50.73,0.37,1.43,,95.0,Satisfactory
Bengaluru,2020-03-12,34.62,78.55,6.45,28.58,30.35,10.85,1.05,6.36,49.83,0.46,1.15,,97.0,Satisfactory
Bengaluru,2020-03-13,34.77,76.68,6.76,27.42,30.03,10.94,0.93,7.36,42.26,0.42,1.17,,90.0,Satisfactory
Bengaluru,2020-03-14,29.97,72.04,5.47,27.04,28.63,10.8,0.91,6.65,38.8,0.38,3.09,,86.0,Satisfactory
Bengaluru,2020-03-15,33.96,72.17,4.07,22.19,23.19,11.55,0.92,6.97,49.32,0.35,3.2,,88.0,Satisfactory
Bengaluru,2020-03-16,26.15,71.05,4.54,21.45,23.54,11.07,0.84,6.75,36.51,0.31,2.81,,79.0,Satisfactory
Bengaluru,2020-03-17,24.15,77.96,4.75,19.78,22.33,10.48,0.86,7.01,31.85,0.35,3.4,,77.0,Satisfactory
Bengaluru,2020-03-18,29.66,72.55,4.54,24.72,25.9,11.06,0.9,7.25,39.28,0.38,3.03,,78.0,Satisfactory
Bengaluru,2020-03-19,38.15,87.04,4.96,26.49,27.94,12.13,0.93,7.97,55.4,0.56,2.03,,91.0,Satisfactory
Bengaluru,2020-03-20,43.31,94.45,3.79,23.38,24.16,13.53,0.98,6.97,53.12,0.5,1.98,,100.0,Satisfactory
Bengaluru,2020-03-21,40.62,95.67,6.2,31.05,32.76,13.76,1.06,6.75,59.91,0.8,1.68,,103.0,Moderate
Bengaluru,2020-03-22,30.16,66.88,4.2,13.39,14.52,12.95,0.82,6.92,48.99,0.34,1.48,,99.0,Satisfactory
Bengaluru,2020-03-23,40.28,82.77,4.01,20.12,20.75,13.99,1.05,6.03,42.02,0.34,1.47,,85.0,Satisfactory
Bengaluru,2020-03-24,50.85,82.89,3.45,15.65,16.61,14.92,0.86,6.39,39.76,0.24,0.95,,106.0,Moderate
Bengaluru,2020-03-25,25.25,48.81,2.62,9.73,11.41,11.91,0.76,7.92,38.24,0.17,0.47,,70.0,Satisfactory
Bengaluru,2020-03-26,27.77,51.53,2.55,8.99,10.63,11.25,0.7,5.87,35.05,0.13,0.38,,61.0,Satisfactory
Bengaluru,2020-03-27,27.47,51.79,3.22,9.44,11.22,11.09,0.85,6.49,35.6,0.14,0.37,,67.0,Satisfactory
Bengaluru,2020-03-28,24.89,45.75,2.63,10.58,12.06,10.13,0.85,6.11,36.29,0.28,1.15,,70.0,Satisfactory
Bengaluru,2020-03-29,28.45,47.23,2.99,12.22,14.05,10.41,0.85,6.37,37.19,0.36,1.48,,66.0,Satisfactory
Bengaluru,2020-03-30,32.46,53.57,3.02,11.09,13.51,11.12,0.91,6.77,41.31,0.21,0.88,,72.0,Satisfactory
Bengaluru,2020-03-31,22.01,48.55,2.9,10.09,11.79,10.45,0.83,5.11,42.69,0.11,0.43,,68.0,Satisfactory
Bengaluru,2020-04-01,22.54,49.89,2.51,10.37,11.6,10.18,0.76,5.81,41.52,0.12,0.46,,64.0,Satisfactory
Bengaluru,2020-04-02,27.12,58.49,2.43,9.58,10.93,10.92,0.86,5.56,46.12,0.11,0.52,,70.0,Satisfactory
Bengaluru,2020-04-03,34.12,69.87,2.43,9.69,11.07,11.13,0.77,6.8,49.16,0.11,0.46,,82.0,Satisfactory
Bengaluru,2020-04-04,31.93,63.83,2.43,9.23,10.79,11.25,0.72,6.51,43.88,0.25,1.0,,74.0,Satisfactory
Bengaluru,2020-04-05,30.26,67.3,2.48,9.81,11.62,11.08,0.8,6.06,39.66,0.17,2.53,,77.0,Satisfactory
Bengaluru,2020-04-06,22.68,50.53,2.34,11.52,11.77,11.69,0.71,4.44,42.79,0.15,11.08,,65.0,Satisfactory
Bengaluru,2020-04-07,15.14,20.84,3.05,13.48,14.79,16.57,0.71,5.3,42.61,0.22,7.2,,62.0,Satisfactory
Bengaluru,2020-04-08,18.39,28.13,2.74,13.73,14.46,13.03,0.72,5.55,52.65,0.26,6.3,,67.0,Satisfactory
Bengaluru,2020-04-09,23.32,32.12,2.51,12.38,13.21,13.62,0.73,5.83,48.84,0.25,5.16,,65.0,Satisfactory
Bengaluru,2020-04-10,30.06,22.69,3.98,11.5,11.44,13.71,0.67,6.1,47.67,0.25,7.31,,76.0,Satisfactory
Bengaluru,2020-04-11,26.99,35.92,2.35,10.63,11.3,16.25,0.79,6.06,45.02,0.73,8.55,,70.0,Satisfactory
Bengaluru,2020-04-12,22.38,35.49,2.68,11.74,12.7,13.94,0.72,4.78,47.0,0.57,9.9,,64.0,Satisfactory
Bengaluru,2020-04-13,25.61,42.98,3.74,15.57,16.92,11.61,0.71,5.75,46.22,0.42,17.99,,72.0,Satisfactory
Bengaluru,2020-04-14,30.24,52.51,3.61,15.73,16.73,10.46,0.69,6.34,46.63,0.32,11.75,,72.0,Satisfactory
Bengaluru,2020-04-15,33.62,50.11,2.76,13.81,14.7,10.86,0.67,8.19,46.04,0.37,8.98,,74.0,Satisfactory
Bengaluru,2020-04-16,25.27,42.7,2.65,12.73,13.63,9.91,0.73,6.55,43.3,0.44,9.63,,66.0,Satisfactory
Bengaluru,2020-04-17,40.0,50.83,2.62,12.28,13.36,10.46,0.65,5.77,41.22,0.34,9.27,,74.0,Satisfactory
Bengaluru,2020-04-18,34.03,46.7,2.53,11.74,12.25,10.25,0.72,5.59,39.05,0.25,3.7,,94.0,Satisfactory
Bengaluru,2020-04-19,24.22,41.6,2.61,10.48,11.63,9.42,0.61,6.21,36.3,0.28,2.29,,67.0,Satisfactory
Bengaluru,2020-04-20,19.42,31.92,2.57,10.76,11.72,9.03,0.55,6.75,32.7,0.16,2.23,,53.0,Satisfactory
Bengaluru,2020-04-21,17.04,48.52,3.12,13.02,13.46,7.96,0.78,6.2,31.78,0.22,2.26,,65.0,Satisfactory
Bengaluru,2020-04-22,19.95,50.26,2.71,10.17,11.49,8.33,0.68,6.79,34.71,0.19,2.56,,71.0,Satisfactory
Bengaluru,2020-04-23,26.1,48.49,2.9,11.41,13.28,8.44,0.67,6.36,38.1,0.2,2.59,,63.0,Satisfactory
Bengaluru,2020-04-24,26.25,65.58,3.38,13.05,15.61,9.74,0.75,6.54,34.36,0.59,3.18,,69.0,Satisfactory
Bengaluru,2020-04-25,25.98,55.47,3.67,13.04,15.19,10.15,0.69,5.83,30.95,0.51,4.3,,66.0,Satisfactory
Bengaluru,2020-04-26,21.32,43.11,3.03,11.76,13.11,9.89,0.82,5.47,37.25,0.25,1.68,,61.0,Satisfactory
Bengaluru,2020-04-27,19.25,50.33,3.17,11.69,14.32,9.21,0.76,5.55,33.06,0.19,2.14,,59.0,Satisfactory
Bengaluru,2020-04-28,20.74,55.81,2.71,11.24,13.01,10.71,0.79,5.86,33.9,0.21,1.66,,71.0,Satisfactory
Bengaluru,2020-04-29,13.68,39.31,2.68,12.02,13.47,10.72,0.74,5.73,30.77,0.22,1.36,,62.0,Satisfactory
Bengaluru,2020-04-30,20.3,54.56,4.21,15.27,17.17,8.07,0.75,5.45,32.26,0.36,1.36,,61.0,Satisfactory
Bengaluru,2020-05-01,24.81,61.29,3.34,12.6,14.65,8.95,0.67,6.28,40.97,0.22,1.93,,74.0,Satisfactory
Bengaluru,2020-05-02,18.36,50.84,3.13,14.26,15.24,7.84,0.8,6.19,38.88,0.3,1.52,,72.0,Satisfactory
Bengaluru,2020-05-03,22.35,56.07,3.02,17.28,16.81,6.94,0.82,6.23,39.28,0.28,1.47,,71.0,Satisfactory
Bengaluru,2020-05-04,26.1,71.6,2.7,18.88,17.75,6.47,0.86,7.16,42.46,0.25,1.19,,79.0,Satisfactory
Bengaluru,2020-05-05,29.23,87.56,3.09,18.26,17.24,7.53,0.82,7.44,43.07,0.25,1.18,,91.0,Satisfactory
Bengaluru,2020-05-06,23.02,64.54,2.81,17.4,16.58,8.56,0.93,6.85,38.88,0.22,1.51,,85.0,Satisfactory
Bengaluru,2020-05-07,26.87,72.07,2.9,18.2,17.08,8.9,0.88,6.09,34.69,0.25,0.99,,82.0,Satisfactory
Bengaluru,2020-05-08,17.61,52.32,3.0,16.86,16.68,7.94,0.77,7.14,31.87,0.28,1.2,,73.0,Satisfactory
Bengaluru,2020-05-09,21.05,60.98,3.05,14.05,15.16,8.26,0.77,7.51,30.1,0.26,0.85,,76.0,Satisfactory
Bengaluru,2020-05-10,24.29,59.49,3.02,13.18,13.74,8.84,0.77,6.93,34.13,0.22,1.48,,78.0,Satisfactory
Bengaluru,2020-05-11,20.58,66.73,3.08,14.23,14.33,9.01,0.81,7.7,35.18,0.21,1.46,,77.0,Satisfactory
Bengaluru,2020-05-12,15.43,70.53,3.19,14.13,14.61,8.98,0.73,6.05,26.07,0.24,1.61,,82.0,Satisfactory
Bengaluru,2020-05-13,14.56,39.32,3.27,13.82,14.5,9.23,0.8,6.09,27.46,0.76,4.51,,66.0,Satisfactory
Bengaluru,2020-05-14,24.81,58.72,3.9,15.82,16.02,10.15,0.74,6.12,33.15,0.38,2.55,,66.0,Satisfactory
Bengaluru,2020-05-15,17.34,46.71,4.43,16.79,16.78,9.42,0.87,7.39,25.11,0.3,1.57,,73.0,Satisfactory
Bengaluru,2020-05-16,23.44,56.99,3.89,18.22,17.24,10.07,0.96,7.06,32.49,0.35,1.16,,74.0,Satisfactory
Bengaluru,2020-05-17,21.25,52.69,3.12,13.24,12.56,10.3,0.72,7.19,36.41,0.27,1.14,,70.0,Satisfactory
Bengaluru,2020-05-18,16.82,47.84,7.57,12.91,11.92,10.52,0.85,6.14,35.55,0.22,1.13,,68.0,Satisfactory
Bengaluru,2020-05-19,23.81,79.02,3.75,13.11,13.59,9.81,0.73,5.67,27.88,0.19,1.69,,72.0,Satisfactory
Bengaluru,2020-05-20,17.9,64.0,4.3,13.77,15.4,8.9,0.72,6.05,26.03,0.18,1.53,,79.0,Satisfactory
Bengaluru,2020-05-21,19.53,60.44,4.38,14.59,16.17,8.87,0.74,5.8,26.55,0.18,1.81,,70.0,Satisfactory
Bengaluru,2020-05-22,18.13,56.21,4.32,15.13,16.51,8.98,0.79,5.59,34.42,0.2,1.47,,68.0,Satisfactory
Bengaluru,2020-05-23,19.52,62.59,3.49,15.05,15.53,8.76,0.72,6.29,39.84,0.23,1.26,,72.0,Satisfactory
Bengaluru,2020-05-24,18.62,66.58,3.28,13.03,13.26,8.97,0.59,5.64,27.7,0.19,1.79,,66.0,Satisfactory
Bengaluru,2020-05-25,21.06,57.36,3.88,16.82,17.08,9.36,0.7,5.81,33.26,0.25,1.49,,70.0,Satisfactory
Bengaluru,2020-05-26,22.25,71.59,4.18,16.47,16.95,9.58,0.76,6.38,34.72,0.26,1.95,,66.0,Satisfactory
Bengaluru,2020-05-27,19.81,55.23,4.73,18.54,18.77,12.06,0.92,6.03,26.83,0.28,1.54,,75.0,Satisfactory
Bengaluru,2020-05-28,28.46,55.7,4.48,14.85,16.36,9.1,0.66,6.24,27.7,0.4,1.83,,74.0,Satisfactory
Bengaluru,2020-05-29,23.16,53.37,5.1,15.72,17.14,8.2,0.7,6.48,25.16,0.6,2.18,,66.0,Satisfactory
Bengaluru,2020-05-30,15.87,42.52,4.12,18.27,17.45,8.7,0.74,6.27,24.01,0.58,1.96,,72.0,Satisfactory
Bengaluru,2020-05-31,23.32,51.62,2.39,11.58,10.32,7.26,0.84,7.01,25.66,0.52,2.14,,61.0,Satisfactory
Bengaluru,2020-06-01,9.16,22.16,2.64,9.72,9.4,5.7,0.6,6.78,20.96,0.52,2.56,,49.0,Good
Bengaluru,2020-06-02,8.95,19.43,3.09,9.76,10.18,5.13,0.57,6.65,17.46,0.59,2.72,,40.0,Good
Bengaluru,2020-06-03,9.69,19.34,4.22,9.78,10.9,4.92,0.6,6.85,19.62,0.67,2.76,,42.0,Good
Bengaluru,2020-06-04,10.91,30.11,7.19,11.51,13.01,4.78,0.62,6.94,17.73,0.67,2.74,,43.0,Good
Bengaluru,2020-06-05,22.88,48.48,3.88,19.65,18.98,5.64,0.66,7.12,18.92,0.92,1.77,,55.0,Satisfactory
Bengaluru,2020-06-06,18.18,50.12,4.61,17.1,16.43,5.7,0.6,7.16,18.22,0.66,2.39,,55.0,Satisfactory
Bengaluru,2020-06-07,17.6,45.11,3.45,13.32,12.94,5.31,0.57,7.11,14.91,0.73,2.63,,55.0,Satisfactory
Bengaluru,2020-06-08,20.16,48.85,4.64,15.31,15.43,5.22,0.65,6.88,16.9,0.73,2.66,,55.0,Satisfactory
Bengaluru,2020-06-09,21.7,52.5,4.65,15.48,16.43,5.64,0.62,6.99,16.73,0.71,2.57,,58.0,Satisfactory
Bengaluru,2020-06-10,25.44,73.07,11.1,15.98,17.72,6.0,0.66,6.92,15.65,1.05,1.82,,70.0,Satisfactory
Bengaluru,2020-06-11,16.53,39.75,5.74,14.7,16.75,5.76,0.67,6.99,12.9,1.03,2.25,,59.0,Satisfactory
Bengaluru,2020-06-12,16.84,35.21,5.17,13.83,15.48,5.93,0.64,7.2,15.56,0.82,2.54,,49.0,Good
Bengaluru,2020-06-13,16.79,42.32,5.42,14.67,16.68,6.57,0.72,7.33,15.52,0.81,2.3,,50.0,Good
Bengaluru,2020-06-14,16.66,35.74,4.77,12.31,14.6,6.7,0.56,6.86,13.54,0.86,2.29,,49.0,Good
Bengaluru,2020-06-15,19.57,36.58,5.15,13.01,15.5,6.55,0.62,7.68,16.22,0.63,2.25,,47.0,Good
Bengaluru,2020-06-16,17.07,45.6,5.16,13.32,15.94,6.9,0.6,7.21,16.51,0.38,2.06,,55.0,Satisfactory
Bengaluru,2020-06-17,18.29,56.47,5.9,14.1,17.22,6.48,0.65,7.74,13.01,0.27,2.64,,57.0,Satisfactory
Bengaluru,2020-06-18,28.32,63.66,5.57,13.98,16.54,6.84,0.73,7.27,12.63,1.31,0.88,,65.0,Satisfactory
Bengaluru,2020-06-19,21.55,57.17,4.82,13.87,15.89,6.54,0.66,7.22,12.34,0.45,0.94,,65.0,Satisfactory
Bengaluru,2020-06-20,18.32,47.55,4.48,13.62,14.97,6.59,0.66,7.81,14.16,0.39,1.32,,56.0,Satisfactory
Bengaluru,2020-06-21,18.18,42.05,4.6,12.45,14.83,6.5,0.54,7.47,13.37,0.37,1.55,,52.0,Satisfactory
Bengaluru,2020-06-22,15.65,40.19,5.59,14.45,17.28,6.5,0.62,7.18,13.04,0.46,1.66,,49.0,Good
Bengaluru,2020-06-23,20.38,49.93,5.16,14.6,17.11,6.76,0.62,6.98,17.72,0.39,1.6,,56.0,Satisfactory
Bengaluru,2020-06-24,19.72,52.43,5.41,14.61,16.98,7.37,0.61,6.86,18.26,0.33,1.48,,63.0,Satisfactory
Bengaluru,2020-06-25,16.93,40.06,6.01,17.67,19.1,7.42,0.74,7.73,19.58,0.4,1.52,,63.0,Satisfactory
Bengaluru,2020-06-26,15.4,28.66,4.42,14.29,15.57,7.32,0.61,7.45,19.53,0.25,1.43,,58.0,Satisfactory
Bengaluru,2020-06-27,16.6,29.48,3.06,13.68,13.07,6.88,0.67,7.29,15.69,0.21,1.18,,51.0,Satisfactory
Bengaluru,2020-06-28,20.44,26.34,2.69,10.33,10.58,6.58,0.66,6.6,17.59,0.12,0.94,,61.0,Satisfactory
Bengaluru,2020-06-29,28.68,29.27,3.62,12.12,12.94,6.8,0.56,6.33,16.99,0.17,1.17,,65.0,Satisfactory
Bengaluru,2020-06-30,14.47,24.26,4.61,12.69,15.0,6.82,0.56,6.45,16.08,0.18,0.86,,63.0,Satisfactory
Bengaluru,2020-07-01,17.5,30.48,3.95,13.25,14.83,7.42,0.54,6.66,15.4,0.27,0.65,,43.0,Good
Chennai,2015-01-01,,,16.3,15.39,22.68,4.59,1.17,9.2,11.35,0.17,,,,
Chennai,2015-01-02,,,16.49,13.42,23.09,7.83,1.23,8.61,9.16,0.13,,,,
Chennai,2015-01-03,,,9.72,19.56,9.99,4.63,0.77,48.23,13.45,0.03,,,,
Chennai,2015-01-04,,,9.6,16.2,11.71,5.23,1.0,27.96,10.33,,,,,
Chennai,2015-01-05,,,9.16,16.3,12.94,5.5,0.9,16.6,9.36,,,,,
Chennai,2015-01-06,,,30.58,35.6,13.42,5.46,0.91,21.98,12.61,0.57,,,,
Chennai,2015-01-07,,,43.92,46.38,13.32,4.9,1.22,28.13,13.94,0.2,,,,
Chennai,2015-01-08,,,26.74,37.79,10.98,3.71,1.15,21.26,38.29,0.97,3.54,,,
Chennai,2015-01-09,,,39.24,42.65,10.52,5.81,1.31,22.82,27.34,3.1,14.68,,,
Chennai,2015-01-10,,,10.2,19.17,11.15,3.96,0.98,17.36,27.19,0.04,,,,
Chennai,2015-01-11,,,55.04,49.87,14.65,3.77,0.8,21.75,19.04,0.39,,,,
Chennai,2015-01-12,,,23.78,30.31,15.71,4.16,1.07,28.51,18.32,0.1,,,,
Chennai,2015-01-13,,,48.95,64.35,12.73,6.06,0.97,16.44,17.25,0.78,0.96,,,
Chennai,2015-01-14,,,29.88,38.23,15.74,8.79,1.22,20.32,23.68,2.67,,,,
Chennai,2015-01-15,,,18.58,23.87,12.97,4.53,1.01,21.92,14.1,0.24,,,,
Chennai,2015-01-16,,,12.29,18.39,12.51,4.03,1.17,13.18,13.22,0.14,,,,
Chennai,2015-01-17,,,9.57,17.4,12.93,3.77,1.7,10.44,26.34,0.03,,,,
Chennai,2015-01-18,,,24.48,30.7,9.26,3.63,1.12,11.33,29.08,0.09,,,,
Chennai,2015-01-19,,,42.76,41.8,9.43,3.82,2.35,9.72,27.45,0.31,,,,
Chennai,2015-01-20,,,21.82,27.9,11.76,20.14,1.99,8.52,32.32,0.06,,,,
Chennai,2015-01-21,,,43.8,59.26,8.54,3.85,1.79,9.28,18.84,9.48,,,,
Chennai,2015-01-22,,,45.63,46.77,8.85,4.6,1.43,7.64,24.98,12.58,,,,
Chennai,2015-01-23,,,34.64,37.55,10.49,4.01,3.43,10.57,42.33,7.99,,,,
Chennai,2015-01-24,,,12.39,9.89,14.62,4.36,0.84,7.39,37.17,,,,,
Chennai,2015-01-25,,,34.39,10.14,14.56,3.98,0.85,7.16,17.11,,,,,
Chennai,2015-01-26,,,30.07,10.44,14.43,3.53,2.07,7.38,20.18,,,,,
Chennai,2015-01-27,,,8.83,12.63,13.41,4.28,1.16,7.14,27.02,,,,,
Chennai,2015-01-28,,,10.41,16.83,14.9,3.69,2.81,8.06,36.68,,8.98,,,
Chennai,2015-01-29,,,44.65,41.79,13.2,3.95,0.84,8.46,26.29,,2.86,,,
Chennai,2015-01-30,,,21.66,23.84,15.56,5.54,0.82,9.46,21.75,,,,,
Chennai,2015-01-31,,,44.76,46.59,14.26,4.37,0.94,7.88,38.57,,7.18,,,
Chennai,2015-02-01,,,21.43,26.05,12.53,4.2,0.71,7.76,42.61,,11.39,,,
Chennai,2015-02-02,,,10.61,15.82,20.87,3.63,1.59,10.58,38.8,,13.02,,,
Chennai,2015-02-03,,,9.09,14.89,17.92,5.12,0.98,6.83,29.08,,,,,
Chennai,2015-02-04,,,9.22,14.0,16.97,27.6,0.85,4.89,36.62,,11.48,,,
Chennai,2015-02-05,,,15.68,19.17,16.44,76.99,0.95,7.48,29.93,,,,,
Chennai,2015-02-06,,,11.9,16.7,17.47,81.78,0.76,7.36,37.13,,,,,
Chennai,2015-02-07,,,8.78,13.46,16.99,25.85,0.89,6.42,33.12,,0.38,,,
Chennai,2015-02-08,,,8.35,12.98,17.84,46.65,1.16,6.21,33.17,,10.02,,,
Chennai,2015-02-09,,,8.43,13.43,19.17,37.42,1.1,6.27,31.08,,,,,
Chennai,2015-02-10,,,8.99,13.2,16.15,58.69,1.0,6.64,40.77,,,,,
Chennai,2015-02-11,,,11.62,14.8,17.39,50.48,1.0,6.87,40.57,,,,,
Chennai,2015-02-12,,,10.77,14.27,16.47,47.94,0.97,6.79,47.85,,,,,
Chennai,2015-02-13,,,11.4,14.16,14.83,56.36,1.19,7.21,36.94,,,,,
Chennai,2015-02-14,,,9.83,12.97,15.28,56.06,1.43,7.84,31.32,,,,,
Chennai,2015-02-15,,,9.97,13.02,16.57,68.44,0.99,7.58,26.41,,,,,
Chennai,2015-02-16,,,9.55,12.63,15.2,82.48,0.98,7.38,30.87,,,,,
Chennai,2015-02-17,,,11.76,14.43,11.95,116.59,5.18,8.35,33.53,,,,,
Chennai,2015-02-18,,,12.57,15.78,10.13,113.29,9.81,9.15,33.83,,,,,
Chennai,2015-02-19,,,12.62,15.2,10.55,85.61,9.99,9.42,19.3,,,,,
Chennai,2015-02-20,,,12.1,13.43,13.11,98.16,4.52,11.51,30.22,,1.64,,,
Chennai,2015-02-21,,,9.33,11.56,14.85,103.03,0.85,7.04,24.91,,3.31,,,
Chennai,2015-02-22,,,8.72,11.4,12.7,110.13,0.9,6.31,30.54,,8.04,,,
Chennai,2015-02-23,,,13.54,15.81,13.57,105.68,0.9,6.13,25.03,,3.24,,,
Chennai,2015-02-24,,,14.05,14.44,14.09,114.96,0.9,7.34,29.33,,,,,
Chennai,2015-02-25,,,10.83,11.57,16.94,62.31,1.41,8.67,30.18,,,,,
Chennai,2015-02-26,,,7.97,13.22,15.59,,3.42,6.31,29.46,,4.29,,,
Chennai,2015-02-27,,,10.16,11.24,12.99,58.05,0.97,7.77,40.47,,6.49,,,
Chennai,2015-02-28,,,8.73,11.7,11.08,29.87,1.15,6.09,25.91,,,,,
Chennai,2015-03-01,,,8.16,11.38,11.91,14.42,1.15,5.8,52.44,,5.74,,,
Chennai,2015-03-02,,,8.66,10.95,12.26,14.83,10.6,5.29,93.22,17.71,5.74,,,
Chennai,2015-03-03,,,10.02,12.29,11.48,63.64,5.33,8.15,47.22,6.65,6.04,,,
Chennai,2015-03-04,,,9.25,11.37,11.41,58.57,2.82,6.77,41.26,6.86,6.02,,,
Chennai,2015-03-05,,,10.67,14.04,8.45,40.55,9.85,7.59,63.26,5.93,7.34,,,
Chennai,2015-03-06,,,11.44,16.34,8.46,74.0,11.02,10.07,105.13,,,,,
Chennai,2015-03-07,,,11.05,18.61,11.19,10.8,10.12,8.04,85.37,7.61,,,,
Chennai,2015-03-08,,,10.26,18.9,10.12,10.89,9.77,5.5,64.65,10.22,,,,
Chennai,2015-03-09,,,10.03,18.29,12.99,11.03,9.93,5.29,77.43,10.91,2.16,,,
Chennai,2015-03-10,,,10.07,22.44,16.57,11.42,5.45,4.61,34.6,7.82,10.29,,,
Chennai,2015-03-11,,,10.4,21.64,19.98,11.56,1.13,5.03,35.85,2.62,9.78,,,
Chennai,2015-03-12,,,11.46,16.02,14.87,10.86,1.11,5.22,57.14,,,,,
Chennai,2015-03-13,,,11.18,16.2,13.81,13.77,2.8,8.43,52.68,,6.61,,,
Chennai,2015-03-14,,,9.82,16.41,14.35,10.89,1.12,7.79,51.23,,,,,
Chennai,2015-03-15,,,30.73,35.78,13.25,11.15,1.07,5.58,47.28,,10.65,,,
Chennai,2015-03-16,,,17.08,24.87,14.08,11.16,1.09,5.63,52.19,,8.19,,,
Chennai,2015-03-17,,,35.48,48.6,17.67,10.54,1.07,10.75,73.63,,10.29,,,
Chennai,2015-03-18,,,46.92,54.96,14.34,9.96,1.25,10.87,34.43,,10.24,,,
Chennai,2015-03-19,,,14.24,22.4,16.37,9.99,1.02,12.45,48.82,,9.96,,,
Chennai,2015-03-20,,,14.93,22.22,13.62,10.04,1.05,10.7,35.5,,7.79,,,
Chennai,2015-03-21,,,24.83,36.81,15.25,11.76,0.81,13.96,54.8,,,,,
Chennai,2015-03-22,,,14.05,22.96,12.06,9.56,2.24,8.66,49.91,,,,,
Chennai,2015-03-23,173.51,,26.85,30.32,14.48,11.76,1.38,8.86,30.17,,8.72,,,
Chennai,2015-03-24,149.04,,31.23,112.29,12.77,9.68,0.93,14.04,38.67,,8.39,,333.0,Very Poor
Chennai,2015-03-25,205.65,,26.97,98.75,14.71,13.31,1.32,10.16,39.17,,7.5,,,
Chennai,2015-03-26,140.21,,16.83,31.79,25.73,10.91,1.41,11.94,44.52,,8.02,,318.0,Very Poor
Chennai,2015-03-27,266.29,,39.96,50.12,20.48,11.51,1.27,25.45,27.64,,8.35,,408.0,Severe
Chennai,2015-03-28,88.65,,22.83,38.75,20.64,10.97,2.21,11.76,27.68,,,,448.0,Severe
Chennai,2015-03-29,81.34,,31.78,48.15,19.74,10.35,1.34,5.59,27.69,,,,,
Chennai,2015-03-30,144.46,,12.8,25.53,16.36,10.41,1.24,8.05,27.57,,5.87,,,
Chennai,2015-03-31,51.69,,37.45,46.48,16.09,11.41,1.23,6.53,27.62,,6.94,,312.0,Very Poor
Chennai,2015-04-01,103.75,,42.23,36.98,14.4,10.04,1.33,4.65,27.54,,7.37,,289.0,Poor
Chennai,2015-04-02,106.27,,33.67,38.34,14.8,11.53,1.08,6.22,27.65,,4.72,,206.0,Poor
Chennai,2015-04-03,42.82,,23.17,35.32,16.86,10.17,1.21,6.23,27.6,,,,248.0,Poor
Chennai,2015-04-04,187.51,,20.88,26.89,17.5,10.1,1.23,4.74,27.57,,3.73,,,
Chennai,2015-04-05,85.86,,17.2,26.79,17.04,12.33,1.14,3.96,27.58,,4.48,,302.0,Very Poor
Chennai,2015-04-06,83.19,,9.46,16.84,15.85,12.35,3.42,5.63,23.22,0.14,5.12,,193.0,Moderate
Chennai,2015-04-07,48.35,,13.12,18.16,15.86,10.95,7.69,5.73,13.38,0.11,,,151.0,Moderate
Chennai,2015-04-08,73.66,,8.54,17.07,17.64,10.83,1.1,3.76,24.4,,,,137.0,Moderate
Chennai,2015-04-09,66.72,,12.08,16.79,15.37,12.76,5.14,4.31,22.29,8.61,7.39,,208.0,Poor
Chennai,2015-04-10,80.79,,12.98,16.3,17.21,10.7,6.35,5.7,19.22,,,,172.0,Moderate
Chennai,2015-04-11,75.59,,8.57,16.81,18.36,11.54,1.57,5.16,27.01,,,,149.0,Moderate
Chennai,2015-04-12,75.82,,7.44,17.27,15.86,11.58,1.13,3.58,27.57,,,,157.0,Moderate
Chennai,2015-04-13,80.23,,12.33,20.43,13.51,9.86,5.69,5.58,23.1,4.39,,,242.0,Poor
Chennai,2015-04-14,87.48,,7.97,18.6,17.24,10.79,1.02,6.25,27.62,,,,205.0,Poor
Chennai,2015-04-15,72.65,,9.4,18.34,13.71,9.6,3.87,4.7,28.02,,,,245.0,Poor
Chennai,2015-04-16,90.72,,12.93,19.6,13.63,9.91,6.25,1.75,24.24,5.39,,,244.0,Poor
Chennai,2015-04-17,73.28,,10.34,22.18,20.41,9.81,1.02,4.53,27.79,,3.52,,152.0,Moderate
Chennai,2015-04-18,73.33,,10.84,22.69,19.72,10.07,0.98,3.82,27.81,,,,152.0,Moderate
Chennai,2015-04-19,71.17,,18.3,29.45,18.05,10.46,0.92,4.36,27.86,,5.42,,148.0,Moderate
Chennai,2015-04-20,78.58,,59.44,69.16,19.01,10.33,1.06,5.99,27.82,,,,149.0,Moderate
Chennai,2015-04-21,74.55,,24.69,37.66,18.13,9.97,1.13,5.08,27.79,,,,158.0,Moderate
Chennai,2015-04-22,73.8,,10.66,25.18,18.57,10.47,0.92,6.3,27.76,,,,145.0,Moderate
Chennai,2015-04-23,69.28,,27.38,41.89,18.28,13.36,2.44,4.14,27.59,,8.51,,142.0,Moderate
