City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2015-02-27,,,6.52,26.9,18.07,20.09,1.14,4.0,66.49,,1.09,,,
Bengaluru,2015-02-28,,,2.94,19.57,11.15,17.43,1.38,2.82,62.61,,1.38,,,
Bengaluru,2015-03-01,,,2.52,10.39,10.91,15.23,0.48,6.93,51.37,,0.48,,,
Bengaluru,2015-03-02,,,4.23,18.06,14.59,33.23,3.56,6.72,58.97,,4.06,,,
Bengaluru,2015-03-03,,,7.81,19.56,17.16,30.4,14.67,8.6,43.5,,14.77,,,
Bengaluru,2015-03-04,,,4.75,17.36,12.54,12.44,3.39,5.99,61.8,,3.41,,,
Bengaluru,2015-03-05,,,11.53,19.94,18.57,6.9,29.33,8.79,45.01,,29.33,,,
Bengaluru,2015-03-06,,,5.94,15.04,12.71,6.3,23.53,16.03,31.55,282.83,43.33,,,
Bengaluru,2015-03-07,,,7.08,15.68,14.94,6.46,25.7,12.69,36.67,296.55,55.15,,,
Bengaluru,2015-03-08,,,5.24,11.59,9.48,11.83,16.01,11.89,45.87,298.28,22.96,,,
Bengaluru,2015-03-09,,,6.85,20.06,18.5,23.32,25.5,11.47,36.7,307.42,38.84,,,
Bengaluru,2015-03-10,,,4.95,26.12,17.58,21.54,1.08,3.17,41.81,,0.0,,,
Bengaluru,2015-03-11,,,8.59,33.01,23.66,30.29,1.33,2.86,35.98,,1.17,,,
Bengaluru,2015-03-12,,,5.47,25.29,17.47,23.55,1.9,1.67,37.65,,2.8,,,
Bengaluru,2015-03-13,,,8.1,20.97,17.24,13.57,13.01,7.84,43.46,,18.0,,,
Bengaluru,2015-03-14,,,12.44,20.58,19.72,1.12,18.28,19.64,49.53,,20.62,,,
Bengaluru,2015-03-15,,,9.08,15.12,15.97,3.79,29.93,16.57,48.26,155.68,32.63,,,
Bengaluru,2015-03-16,,,12.37,18.67,20.45,4.81,25.25,30.13,47.74,,30.81,,,
Bengaluru,2015-03-17,,,13.81,31.84,27.25,21.65,17.79,11.89,49.86,,28.52,,,
Bengaluru,2015-03-18,,,35.23,34.01,40.01,20.82,6.17,3.76,49.27,156.71,39.67,,,
Bengaluru,2015-03-19,,,17.05,33.58,29.48,29.11,15.98,47.19,56.32,119.55,30.98,,,
Bengaluru,2015-03-20,30.65,,3.36,28.48,18.68,27.2,4.55,2.76,43.25,36.0,171.22,,,
Bengaluru,2015-03-21,48.59,,3.47,27.0,18.04,28.02,3.89,1.94,52.96,21.33,196.72,,91.0,Satisfactory
Bengaluru,2015-03-22,47.38,,2.84,22.39,15.33,23.19,11.29,2.05,71.85,14.97,138.2,,120.0,Moderate
Bengaluru,2015-03-23,65.65,,3.1,26.35,17.45,27.76,9.95,6.3,72.84,9.88,100.77,,154.0,Moderate
Bengaluru,2015-03-24,60.47,,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,,119.0,Moderate
Bengaluru,2015-03-25,62.56,,3.16,23.57,16.39,27.13,10.05,4.98,82.34,4.53,39.99,,232.0,Poor
Bengaluru,2015-03-26,60.73,,4.16,32.07,21.03,34.71,1.44,1.67,67.21,1.36,13.28,,132.0,Moderate
Bengaluru,2015-03-27,42.1,,4.01,25.55,17.37,30.96,2.85,2.46,51.93,0.14,3.71,,123.0,Moderate
Bengaluru,2015-03-28,40.0,,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,,152.0,Moderate
Bengaluru,2015-03-29,32.16,,2.38,12.9,8.3,21.5,8.53,2.08,56.31,0.15,8.53,,143.0,Moderate
Bengaluru,2015-03-30,30.78,,2.68,16.23,14.63,26.96,1.46,2.63,49.52,0.14,2.07,,80.0,Satisfactory
Bengaluru,2015-03-31,38.99,,2.6,10.97,12.7,27.52,1.79,2.79,47.67,0.14,2.39,,90.0,Satisfactory
Bengaluru,2015-04-01,36.42,,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,,151.0,Moderate
Bengaluru,2015-04-02,38.15,,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,,123.0,Moderate
Bengaluru,2015-04-03,35.11,,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,,178.0,Moderate
Bengaluru,2015-04-04,36.68,,3.63,12.89,10.88,40.71,1.47,3.29,76.36,0.13,1.61,,101.0,Moderate
Bengaluru,2015-04-05,36.92,,2.2,9.0,7.6,26.22,9.58,4.07,65.62,0.14,12.02,,160.0,Moderate
Bengaluru,2015-04-06,31.78,,2.48,8.14,8.06,22.34,0.55,7.22,54.31,0.18,0.28,,71.0,Satisfactory
Bengaluru,2015-04-07,37.25,,2.86,7.14,11.25,17.78,2.3,5.88,60.42,0.2,2.3,,76.0,Satisfactory
Bengaluru,2015-04-08,29.8,,2.59,9.04,7.52,24.2,6.84,1.84,49.55,0.12,20.68,,153.0,Moderate
Bengaluru,2015-04-09,25.06,,3.21,8.72,7.2,29.83,5.82,2.6,42.63,0.13,5.92,,80.0,Satisfactory
Bengaluru,2015-04-10,24.4,,6.87,7.46,8.7,23.17,5.19,2.03,44.47,8.64,8.48,,129.0,Moderate
Bengaluru,2015-04-11,32.08,,6.6,7.09,8.82,30.95,1.7,3.22,53.91,0.29,1.75,,107.0,Moderate
Bengaluru,2015-04-12,19.72,,1.81,4.97,5.51,34.85,2.65,5.16,44.53,0.17,2.65,,122.0,Moderate
Bengaluru,2015-04-13,17.03,,2.17,8.53,9.95,34.3,2.23,2.75,39.03,,2.62,,85.0,Satisfactory
Bengaluru,2015-04-14,19.73,,2.26,6.1,6.13,27.48,1.4,4.66,57.7,0.18,1.71,,62.0,Satisfactory
