location_id,name,locality,latitude,longitude,sensor_ids,parameters,is_mobile,is_monitor,provider,city
13,"Delhi Technological University, Delhi - CPCB",,28.744,77.12,"[13866, 24, 13864]","['no2', 'o3', 'pm25']",False,True,CPCB,Delhi
17,"R K Puram, Delhi - DPCC",,28.563262,77.186937,"[392, 12234782, 12234783, 12234784, 36, 14340713, 394, 12234785, 399, 12234786, 12234787, 35, 12234788, 12234789, 393, 12234790, 14340714, 14340715]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
50,"Punjabi Bagh, Delhi - DPCC",,28.674045,77.131023,"[398, 12234791, 12234792, 400, 12234793, 14340716, 12234794, 71, 395, 12234795, 12234796, 396, 12234797, 12234798, 397, 12234799, 14340717, 14340718]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
103,"Income Tax Office, Delhi - CPCB",,28.6235,77.2494,"[169, 13863, 168, 13862, 13861]","['co', 'no2', 'o3', 'pm10', 'pm25']",False,True,CPCB,Delhi
235,"Anand Vihar, New Delhi - DPCC",,28.646835,77.316032,"[385, 12235605, 12235606, 12235607, 382, 14340864, 380, 12235608, 12235609, 381, 12235610, 384, 12235611, 383, 12235612, 12235613, 14340865, 14340866]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
236,"Mandir Marg, Delhi - DPCC",,28.6341,77.2005,"[386, 389, 390, 391, 388, 387]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,CPCB,Delhi
412,"Peenya, Bengaluru - KSPCB",,13.0339,77.51321111,"[722, 1518, 13852, 13853]","['co', 'no2', 'pm25', 'so2']",False,True,CPCB,Bengaluru
431,"IHBAS, Delhi - CPCB",,28.6821,77.305,"[5361, 747, 13868, 13867]","['co', 'no2', 'pm25', 'so2']",False,True,CPCB,Delhi
594,"BTM Layout, Bengaluru - KSPCB",,12.912811110000002,77.60921944,"[1048, 1427, 4886, 13836, 13837]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB,Bengaluru
716,"Rabindra Bharati University, Kolkata - WBSPCB",,22.627875,88.3804,"[5504, 5505, 5502, 5503, 1242, 1241]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,CPCB,Kolkata
2456,"Talkatora District Industries Center, Lucknow - CPCB",,26.83399722,80.8917361,"[12235569, 4712, 12235570, 12235571, 5231, 14341863, 12235572, 36695, 12235573, 36696, 14237, 12235574, 12235575, 14238, 12235576, 12235577, 14341864, 14341865]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Lucknow
2460,US Diplomatic Post: Kolkata,,22.547142,88.351048,[4724],['pm25'],False,True,StateAir Kolkata,Kolkata
2461,US Diplomatic Post: Chennai,,13.052371,80.251932,[4725],['pm25'],False,True,StateAir Chennai,Chennai
2503,"Shadipur, Delhi - CPCB",,28.6517,77.1581,"[4851, 4852, 4853, 13860, 13859]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB,Delhi
2586,"Manali, Chennai - CPCB",,13.164544,80.26285,"[5339, 12235648, 12235649, 5340, 12235650, 14340870, 1305375, 12235651, 12235652, 1305374, 14319, 12235653, 12235654, 14311, 12235655, 12235656, 14340871, 14340872]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Chennai
2592,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",,12.93890556,77.69727222,"[5381, 5380, 5375, 13898, 13888]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB,Bengaluru
2593,IGSC Planetarium Complex - Patna - BSPCB,,25.3636,85.0755,"[5383, 5386, 5384, 5385, 14315]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB,Patna
2597,US Diplomatic Post: New Delhi,,28.598096,77.189066,[5398],['pm25'],False,True,StateAir NewDelhi,Delhi
2598,Navi Mumbai Municipal Corporation Airoli,,19.1494,72.9986,"[5400, 5408, 5404, 13523]","['co', 'pm10', 'pm25', 'so2']",False,True,CPCB,Mumbai
5404,"Pusa, Delhi - IMD",,28.639645,77.146263,"[14086, 12234697, 12234698, 14084, 12234699, 14340700, 12234700, 12234701, 14085, 14087, 12234702]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB,Delhi
5509,"Anand Vihar, Delhi - DPCC",,28.647622,77.315809,"[14519, 14523, 14524, 14522, 14521, 14520]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Delhi
5540,"Punjabi Bagh, Delhi - DPCC",,28.6670856,77.1301247,"[14616, 14613, 14614, 14612, 14617, 14615]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Delhi
5541,"Burari Crossing, New Delhi - IMD",,28.7256504,77.2011573,"[14958, 12234679, 12234680, 14936, 12234681, 14340697, 12234682, 14931, 14620, 12234683, 14912, 12234684]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB,Delhi
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",,12.9352049,77.6814488,"[14637, 14636, 14640, 1303004, 14641, 14634]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Bengaluru
5548,"BTM Layout, Bengaluru - CPCB",,12.9135218,77.5950804,"[14657, 12235356, 12235357, 12235358, 14639, 14341816, 12235359, 14658, 12235360, 1305377, 14635, 12235361, 12235362, 12235363, 14642, 12235364, 14341817, 14341818]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
5558,"Alandur Bus Depot, Chennai - CPCB",,12.909916100000002,80.1076538,"[14690, 14681, 14689, 1305373, 14680, 14682]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Chennai
5570,"Aya Nagar, New Delhi - IMD",,28.474261,77.131606,"[15010, 12234703, 12234704, 12234705, 15019, 14340701, 12234706, 15021, 12234707, 15027, 14717, 12234708]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB,Delhi
5574,"City Railway Station, Bengaluru - KSPCB",,12.9756843,77.5660749,"[14779, 12235374, 12235375, 12235376, 14773, 14340832, 14775, 12235377, 14732, 12235378]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'pm10', 'pm10', 'so2', 'so2']",False,True,CPCB,Bengaluru
5581,"Pusa, New Delhi - IMD",,28.610304,77.0996943,"[15266, 14800, 14752, 14851, 14853]","['co', 'no2', 'o3', 'pm10', 'pm25']",False,True,caaqm,Delhi
5586,"Sirifort, Delhi - CPCB",,28.5504249,77.2159377,"[12234764, 12234765, 12234766, 14340707, 12234767, 12234768, 12234769, 12234770, 12234771, 12234772, 14340708, 14340709]","['co', 'no', 'no2', 'nox', 'o3', 'pm10', 'pm25', 'relativehumidity', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
5604,"Nishant Ganj, Lucknow - UPPCB",,26.871428,80.957145,"[14896, 15139, 15078, 14845, 14880]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,caaqm,Lucknow
5607,"Peenya, Bengaluru - CPCB",,13.0270199,77.494094,"[12235365, 15270, 12235366, 14850, 12235367, 14340829, 40537, 12235368, 1303005, 12235369, 12235370, 14859, 12235371, 12235372, 14862, 12235373, 14340830, 14340831]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
5610,"North Campus, DU, Delhi - IMD",,28.6573814,77.1585447,"[14909, 12234685, 12234686, 14902, 12234687, 14340698, 14889, 12234688, 2007703, 14886, 12234689, 12234690, 14860]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB,Delhi
5613,"ITO, New Delhi - CPCB",,28.628624,77.24106,"[12234748, 17782, 12234749, 14866, 12234750, 14341687, 12234751, 17785, 12234752, 14869, 12234753, 14878, 17781, 12234754]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'so2', 'so2']",False,True,CPCB,Delhi
5622,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,"[14916, 12234739, 12234740, 14919, 12234741, 14341688, 14920, 12234742, 34957, 12234743, 14922, 12234744, 12234745, 14923, 12234746, 12234747, 14341690, 14341692]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
5626,"DTU, New Delhi - CPCB",,28.7500499,77.1112615,"[12234755, 14933, 12234756, 14941, 12234757, 14340704, 12234758, 14949, 12234759, 14974, 12234760, 14985, 12234761, 12234762, 17766, 12234763, 14340705, 14340706]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
5627,"CRRI Mathura Road, New Delhi - IMD",,28.5512005,77.2735737,"[15098, 12234673, 12234674, 12234675, 15082, 14340696, 15063, 12234676, 14946, 12234677, 12234678, 14935]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB,Delhi
5628,"GVM Corporation, Visakhapatnam - APPCB",,17.722682,83.308197,"[14969, 12235455, 12235456, 12235457, 14957, 14340842, 14950, 12235458, 14947, 12235459, 12235460, 14944, 12235461, 12235462, 14939, 12235463, 14340843, 14340844]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Patna
5630,"Shadipur, Delhi - CPCB",,28.6514781,77.1473105,"[15119, 12234721, 12234722, 15053, 12234723, 14341721, 15011, 12234724, 12234725, 36210, 14959, 12234726, 12234727, 12234728, 14952, 12234729, 14341722, 14341723]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Delhi
5634,"Lodhi Road, New Delhi - IMD",,28.5918245,77.2273074,"[14978, 12234709, 12234710, 12234711, 14980, 14340702, 14981, 12234712, 14983, 12234713, 12234714, 14984]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25']",False,True,CPCB,Delhi
5639,"R K Puram, New Delhi - DPCC",,28.5646102,77.1670103,"[15008, 15030, 15042, 15059, 15071, 15092]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Delhi
5641,"Mandir Marg, New Delhi - DPCC",,28.6372688,77.2005604,"[15028, 15025, 15023, 15022, 15014, 15013]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Delhi
5644,"Sanegurava Halli, Bengaluru - KSPCB",,12.990328,77.5431385,"[12235379, 15039, 12235380, 12235381, 15035, 14341819, 12235382, 15033, 12235383, 15032, 12235384, 12235385, 14341820, 14341821]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'pm10', 'pm10', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Bengaluru
5650,"IGI Airport (T3), Delhi - IMD",,28.5627763,77.1180053,"[12234691, 12234692, 12234693, 14340699, 12234694, 12234695, 12234696]","['co', 'no', 'no2', 'nox', 'o3', 'pm10', 'pm25']",False,True,CPCB,Delhi
5652,"IGSC Planetarium Complex, Patna - BSPCB",,25.5941,85.1376,"[12235333, 15084, 12235334, 12235335, 15085, 14340820, 12235336, 15086, 15087, 12235337, 12235338, 15089, 12235339, 12235340, 14340821, 14340822]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Patna
5655,"Velachery Res. Area, Chennai - CPCB",,13.0052189,80.2398125,"[15110, 12235526, 12235527, 12235528, 15117, 14340852, 12235529, 15132, 1305376, 12235530, 12235531, 15136, 12235532, 15138, 12235533, 12235534, 14340853, 14340854]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Chennai
5657,"Central School, Lucknow - CPCB",,26.8821003,80.9302753,"[15129, 15130, 15135, 34959, 15172, 15181]","['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Lucknow
5659,"Lalbagh, Lucknow - CPCB",,26.8458805,80.9365541,"[15151, 12235517, 12235518, 12235519, 15149, 14341851, 12235520, 15148, 36168, 12235521, 15143, 12235522, 12235523, 15142, 12235524, 12235525, 14341852, 14341853]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB,Lucknow
5742,"Patparganj, Delhi - DPCC",,28.6310495,77.2846218,"[15498, 15500, 15628, 15629, 15499]","['no2', 'o3', 'pm10', 'pm25', 'so2']",False,True,caaqm,Delhi
