location_id,name,locality,latitude,longitude,sensor_ids,parameters,is_mobile,is_monitor,provider
2456,"Talkatora District Industries Center, Lucknow - CPCB",,26.83399722,80.8917361,"[12235569, 4712, 12235570, 12235571, 5231, 14341863, 12235572, 36695, 12235573, 36696, 14237, 12235574, 12235575, 14238, 12235576, 12235577, 14341864, 14341865]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
2459,US Diplomatic Post: Hyderabad,,17.443464,78.47489,[4720],['pm25'],False,True,StateAir Hyderabad
2460,US Diplomatic Post: Kolkata,,22.547142,88.351048,[4724],['pm25'],False,True,StateAir Kolkata
2461,US Diplomatic Post: Chennai,,13.052371,80.251932,[4725],['pm25'],False,True,StateAir Chennai
2463,Central School,,26.85272778,80.99632778,"[4734, 4731, 4729, 5326, 14364]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB
2503,"Shadipur, Delhi - CPCB",,28.651699999999998,77.1581,"[4851, 4852, 4853, 13860, 13859]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB
2549,IIT,,12.992513890000001,80.23744722,"[5141, 5142, 5144, 14320, 14313]","['co', 'no2', 'o3', 'pm25', 'so2']",False,True,CPCB
2583,"Sector-6, Panchkula - HSPCB ",,30.7057778,76.8531805555555,"[12328439, 5359, 12328440, 5357, 12328441, 14341813, 12328442, 5336, 5343, 12328443, 12328444, 5345, 12328445, 12328446, 14341814, 14341815]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
2585,AAQMS Karve Road Pune,,18.497484,73.81349,"[5338, 5372, 5355, 5354, 14235]","['co', 'o3', 'pm10', 'pm25', 'so2']",False,True,CPCB
2586,"Manali, Chennai - CPCB",,13.164544,80.26285,"[5339, 12235648, 12235649, 5340, 12235650, 14340870, 1305375, 12235651, 12235652, 1305374, 14319, 12235653, 12235654, 14311, 12235655, 12235656, 14340871, 14340872]","['co', 'co', 'no', 'no2', 'no2', 'nox', 'o3', 'o3', 'pm10', 'pm10', 'pm25', 'pm25', 'relativehumidity', 'so2', 'so2', 'temperature', 'wind_direction', 'wind_speed']",False,True,CPCB
